rom,title,year,manufacturer
act2000d1,"Action 2000 (Version 3.5R, set 1)",1999,Amcoe
act2000dx,"Action 2000 (Version 3.30XT, set 1)",1999,Amcoe
act2000o,Action 2000 (Version 3.3),1999,Amcoe
act2000o2,Action 2000 (Version 3.10XT),1999,Amcoe
act2000o3,Action 2000 (Version 1.2),1999,Amcoe
act2000v1,Action 2000 (Version 3.5R Dual),1999,Amcoe
act2000vx,Action 2000 (Version 3.30XT Dual),1999,Amcoe
actfancr,Act-Fancer Cybernetick Hyper Weapon (World revision 2),1989,Data East Corporation
actfancr1,Act-Fancer Cybernetick Hyper Weapon (World revision 1),1989,Data East Corporation
actfancrj,Act-Fancer Cybernetick Hyper Weapon (Japan revision 1),1989,Data East Corporation
actionhw,Action Hollywood,1995,TCH
